id	main_strategy	management_fee	incentive_fee	high_watermark	firm_id	strategy_code	date	performance	nav	assets	mktrf	smb	hml	rf
374	2	1.5	0	1	55	5	19940430	-0.06	11966.87	247.35	0.68	-0.92	1.68	0.27
374	2	1.5	0	1	55	5	19940531	1.63	11165.77	251.38	0.58	-2.02	0.19	0.31
374	2	1.5	0	1	55	5	19940630	-0.83	11072.64	249.28	-3.03	-0.47	1.68	0.31
374	2	1.5	0	1	55	5	19940731	1.21	11206.53	252.3	2.82	-1.72	0.6	0.28
374	2	1.5	0	1	55	5	19940831	2.29	11463.04	258.07	4.01	1.33	-2.82	0.37
374	2	1.5	0	1	55	5	19940930	0.31	11499	258.88	-2.31	2.82	-1.91	0.37
374	2	1.5	0	1	55	5	19941031	-0.96	11368.7	256.4	1.34	-2.36	-1.74	0.38
374	2	1.5	0	1	55	5	19941130	-0.77	11300.95	254.42	-4.04	0.27	-0.95	0.37
374	2	1.5	0	1	55	5	19941231	-0.75	11216.37	253.77	0.86	0.03	0.53	0.44
374	2	1.5	0	1	55	5	19950131	-1.3	11070.25	249.23	1.8	-2.65	0.81	0.42
374	2	1.5	0	1	55	5	19950228	0.92	11171.91	251.52	3.63	-0.69	1.04	0.4
374	2	1.5	0	1	55	5	19950331	3.58	11571.79	260.52	2.19	-0.7	-1.06	0.46
374	2	1.5	0	1	55	5	19950430	1.47	11722.86	263.93	2.11	-0.63	2.25	0.44
374	2	1.5	0	1	55	5	19950531	1.75	11340.48	268.98	2.9	-2.2	1.68	0.54
374	2	1.5	0	1	55	5	19950630	-0.38	11297.22	264.15	2.72	2.93	-2.27	0.47
374	2	1.5	0	1	55	5	19950731	5.77	11949.68	275.71	3.72	2.09	-1.69	0.45
374	2	1.5	0	1	55	5	19950831	5.58	12699.89	292.05	0.55	1.6	2.72	0.47
374	2	1.5	0	1	55	5	19950930	1.7	12830.85	297.02	3.35	-2.11	-0.76	0.43
374	2	1.5	0	1	55	5	19951031	1.45	13016.76	302.29	-1.52	-3.74	-0.75	0.47
374	2	1.5	0	1	55	5	19951130	4.62	13618.78	319.97	3.96	-1.17	0.95	0.42
374	2	1.5	0	1	55	5	19951231	3.16	14027.62	330.61	1.03	0.57	0.86	0.49
374	2	1.5	0	1	55	5	19960131	4.68	14707.96	344.48	2.26	-2.61	0.32	0.43
374	2	1.5	0	1	55	5	19960229	-2.66	14316.81	339.57	1.33	1.87	-1.44	0.39
374	2	1.5	0	1	55	5	19960331	2.61	14690.18	348.42	0.73	1.3	0.99	0.39
374	2	1.5	0	1	55	5	19960430	1.69	14939.05	354.33	2.06	4.92	-3.9	0.46
